지점,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),1시간 최다강수량(mm),1시간 최다 강수량 시각(hhmi),일강수량(mm),최대 순간 풍속(m/s),최대 순간풍속 시각(hhmi),평균 풍속(m/s),최대 순간 풍속 풍향(hhmi)
400,2014-01-01,5.5,3.1,414,8.6,1455,0,,0,10.3,1201,2.4,258.8
400,2014-01-02,3.1,.5,752,6.3,1542,0,,0,5.1,607,1.5,284.1
400,2014-01-03,2.9,-.5,533,7.6,1424,0,,0,5.3,1947,1.4,289.7
400,2014-01-04,1.2,-1.2,702,5.4,1419,0,,0,5.1,1611,1.5,261.6
400,2014-01-05,.7,-1.8,802,3.9,1424,0,,0,5.7,1642,1.3,272.8
400,2014-01-06,1.7,-2.6,617,6,1505,0,,0,4.1,1728,1.1,267.2
400,2014-01-07,3.5,.6,535,6,1513,0,,0,3.6,1431,1.1,270
400,2014-01-08,1.4,-4.6,2358,4.6,321,0,,0,8.2,1647,2.2,270
400,2014-01-09,-6.4,-9.1,817,-3.6,1454,0,,0,7.8,1716,2.4,303.8
400,2014-01-10,-3.7,-7.2,439,-.3,1510,0,,0,4.5,1135,1.4,64.7
400,2014-01-11,-.8,-4.1,842,2.6,1330,0,,0,9.2,1902,1.3,281.3
400,2014-01-12,-1.4,-6.5,2359,2.6,1507,0,,0,7.4,1737,1.9,286.9
400,2014-01-13,-4.9,-8.2,653,-1.1,1525,0,,0,5.6,1632,2,255.9
400,2014-01-14,-3.1,-7.3,758,.9,1513,0,,0,6.1,2128,1.7,292.5
400,2014-01-15,-1.8,-5.7,700,2.1,1441,0,,0,5.7,1442,1.3,239.1
400,2014-01-16,.1,-3.1,305,2.8,1402,0,,0,3.7,959,1.3,56.3
400,2014-01-17,.6,-2.6,820,4.1,1435,0,,0,4.8,1832,1.4,258.8
400,2014-01-18,-.8,-3.1,2334,1.5,1342,0,,0,8.8,1516,2.2,312.2
400,2014-01-19,-1.5,-5.6,737,1.9,1427,0,,0,4.8,1140,1.1,115.3
400,2014-01-20,-1.1,-3.5,2359,2.2,1324,1.5,1700,6,7.4,1857,1.6,289.7
400,2014-01-21,-4.4,-6.1,807,-2.9,1502,0,,0,5.7,1441,1.7,272.8
400,2014-01-22,-2.8,-7.6,800,1.2,1601,0,,0,5.5,1424,1.3,286.9
400,2014-01-23,-.5,-4.9,749,4.4,1602,0,,0,4.8,1704,1.4,213.8
400,2014-01-24,3.4,-.4,113,6.4,1521,0,,0,4,2248,1.3,59.1
400,2014-01-25,4.3,.6,2354,6.2,1229,1,1200,2.5,7.3,2212,1.7,281.3
400,2014-01-26,-1,-3.9,751,2.2,1533,0,,0,7.3,113,1.9,264.4
400,2014-01-27,1.3,-4.5,717,6.3,1607,0,,0,5.2,1801,1.4,208.1
400,2014-01-28,2.3,-.4,2321,4.4,1417,0,,0,7.8,1351,2,272.8
400,2014-01-29,2.7,-4.4,658,8.1,1732,0,,0,5.6,2041,1.4,185.6
400,2014-01-30,4.7,.4,2354,7.2,251,2.5,1200,4.5,7.7,1448,1.8,284.1
400,2014-01-31,1.9,-2.3,810,6.4,1610,0,,0,6.4,105,1.4,255.9
400,2014-02-01,4.1,3.1,124,5.2,2306,2.5,1700,8,4.7,1317,1.5,87.2
400,2014-02-02,5.3,3.7,2400,7.4,1531,1,200,1.5,4.6,1829,1.1,281.3
400,2014-02-03,-2.6,-7.2,2349,3.7,1,0,,0,8.9,1711,2.9,289.7
400,2014-02-04,-6.6,-9.3,815,-3.5,1636,0,,0,8,1639,2.1,267.2
400,2014-02-05,-4,-7,452,.2,1513,0,,0,5.5,1152,1.5,70.3
400,2014-02-06,-.5,-4,458,3.8,1543,0,,0,6.3,1155,1.2,47.8
400,2014-02-07,2.6,-.6,528,6.6,1442,0,,0,7.5,1858,3,50.6
400,2014-02-08,.3,-1.1,2327,2.1,1527,1.5,2100,3.5,6.9,700,2.6,47.8
400,2014-02-09,-.6,-2.3,814,1.4,1631,0,,0,4.7,1442,1.5,250.3
400,2014-02-10,.5,-2,449,3.9,1550,0,,0,6,1403,1.7,90
400,2014-02-11,.5,-3,711,4.5,1558,0,,0,5.7,105,1.9,84.4
400,2014-02-12,2.1,-1.1,526,6,1451,0,,0,4.5,2209,1.6,16.9
